Episodes,P1-Win,P1-Lose,P1-Draw,P2-Win,P2-Lose,P2-Draw
0,0.81,0.16,0.03,0.52,0.44,0.04
10,0.89,0.06,0.05,0.13,0.87,0
20,0.97,0.01,0.02,0.27,0.71,0.02
30,0.94,0.02,0.04,0.55,0.36,0.09
40,0.96,0.02,0.02,0.64,0.36,0
50,0.87,0.08,0.05,0.68,0.27,0.05
60,0.88,0.1,0.02,0.72,0.24,0.04
70,0.92,0.05,0.03,0.58,0.32,0.1
80,0.91,0.02,0.07,0.63,0.26,0.11
90,0.91,0.03,0.06,0.52,0.4,0.08
100,0.92,0.04,0.04,0.6,0.33,0.07
110,0.94,0.01,0.05,0.6,0.36,0.04
120,0.9,0.06,0.04,0.58,0.37,0.05
130,0.72,0.12,0.16,0.66,0.28,0.06
140,0.8,0.07,0.13,0.6,0.27,0.13
150,0.77,0.16,0.07,0.6,0.26,0.14
160,0.81,0.11,0.08,0.68,0.27,0.05
170,0.85,0.1,0.05,0.61,0.25,0.14
180,0.83,0.15,0.02,0.53,0.35,0.12
190,0.83,0.12,0.05,0.57,0.29,0.14
200,0.88,0.05,0.07,0.6,0.36,0.04
210,0.91,0.04,0.05,0.65,0.32,0.03
220,0.79,0.13,0.08,0.61,0.24,0.15
230,0.85,0.1,0.05,0.59,0.27,0.14
240,0.9,0.05,0.05,0.56,0.29,0.15
250,0.87,0.09,0.04,0.66,0.25,0.09
260,0.9,0.07,0.03,0.54,0.35,0.11
270,0.88,0.07,0.05,0.61,0.31,0.08
280,0.84,0.05,0.11,0.57,0.39,0.04
290,0.94,0.05,0.01,0.58,0.37,0.05
300,0.88,0.04,0.08,0.62,0.33,0.05
310,0.86,0.12,0.02,0.6,0.34,0.06
320,0.83,0.11,0.06,0.6,0.28,0.12
330,0.84,0.1,0.06,0.65,0.28,0.07
340,0.86,0.09,0.05,0.69,0.25,0.06
350,0.89,0.08,0.03,0.59,0.3,0.11
360,0.81,0.14,0.05,0.63,0.33,0.04
370,0.9,0.07,0.03,0.52,0.45,0.03
380,0.85,0.09,0.06,0.64,0.27,0.09
390,0.92,0.06,0.02,0.59,0.37,0.04
400,0.84,0.08,0.08,0.53,0.4,0.07
410,0.93,0.05,0.02,0.52,0.42,0.06
420,0.94,0.04,0.02,0.53,0.39,0.08
430,0.86,0.12,0.02,0.52,0.36,0.12
440,0.91,0.03,0.06,0.56,0.31,0.13
450,0.96,0.02,0.02,0.62,0.34,0.04
460,0.89,0.11,0,0.5,0.44,0.06
470,0.9,0.08,0.02,0.57,0.29,0.14
480,0.92,0.06,0.02,0.67,0.28,0.05
490,0.86,0.08,0.06,0.58,0.34,0.08
500,0.92,0.07,0.01,0.64,0.27,0.09
510,0.85,0.09,0.06,0.49,0.32,0.19
520,0.84,0.11,0.05,0.55,0.34,0.11
530,0.88,0.07,0.05,0.62,0.33,0.05
540,0.89,0.06,0.05,0.63,0.31,0.06
550,0.89,0.06,0.05,0.53,0.42,0.05
560,0.93,0.04,0.03,0.59,0.32,0.09
570,0.91,0.07,0.02,0.59,0.37,0.04
580,0.85,0.04,0.11,0.64,0.26,0.1
590,0.88,0.1,0.02,0.66,0.29,0.05
600,0.83,0.09,0.08,0.58,0.34,0.08
610,0.93,0.03,0.04,0.6,0.33,0.07
620,0.91,0.04,0.05,0.54,0.38,0.08
630,0.84,0.09,0.07,0.63,0.27,0.1
640,0.82,0.06,0.12,0.61,0.33,0.06
650,0.79,0.09,0.12,0.65,0.3,0.05
660,0.88,0.01,0.11,0.59,0.32,0.09
670,0.88,0.06,0.06,0.68,0.27,0.05
680,0.89,0.08,0.03,0.53,0.39,0.08
690,0.96,0.03,0.01,0.67,0.32,0.01
700,0.84,0.09,0.07,0.58,0.3,0.12
710,0.87,0.11,0.02,0.58,0.36,0.06
720,0.87,0.08,0.05,0.68,0.27,0.05
730,0.84,0.13,0.03,0.57,0.31,0.12
740,0.8,0.11,0.09,0.54,0.4,0.06
750,0.85,0.06,0.09,0.6,0.32,0.08
760,0.88,0.09,0.03,0.58,0.35,0.07
770,0.85,0.11,0.04,0.67,0.27,0.06
780,0.84,0.06,0.1,0.65,0.31,0.04
790,0.82,0.11,0.07,0.61,0.37,0.02
800,0.94,0.03,0.03,0.56,0.39,0.05
810,0.92,0.07,0.01,0.63,0.33,0.04
820,0.92,0.05,0.03,0.61,0.36,0.03
830,0.86,0.12,0.02,0.68,0.29,0.03
840,0.94,0.05,0.01,0.66,0.3,0.04
850,0.97,0.03,0,0.63,0.28,0.09
860,0.89,0.06,0.05,0.63,0.34,0.03
870,0.94,0.03,0.03,0.63,0.28,0.09
880,0.94,0.03,0.03,0.62,0.31,0.07
890,0.82,0.12,0.06,0.68,0.25,0.07
900,0.93,0.07,0,0.64,0.29,0.07
910,0.93,0.07,0,0.61,0.35,0.04
920,0.94,0.06,0,0.51,0.42,0.07
930,0.88,0.1,0.02,0.52,0.4,0.08
940,0.94,0.05,0.01,0.63,0.33,0.04
950,0.87,0.1,0.03,0.66,0.31,0.03
960,0.87,0.12,0.01,0.65,0.24,0.11
970,0.93,0.07,0,0.62,0.23,0.15
980,0.93,0.05,0.02,0.56,0.36,0.08
990,0.85,0.05,0.1,0.66,0.27,0.07
1000,0.86,0.06,0.08,0.55,0.33,0.12
