Episodes,P1-Win,P1-Lose,P1-Draw,P2-Win,P2-Lose,P2-Draw
0,0.85,0.09,0.06,0.33,0.64,0.03
10,0.85,0.08,0.07,0.67,0.25,0.08
20,0.76,0.19,0.05,0.54,0.39,0.07
30,0.72,0.15,0.13,0.49,0.47,0.04
40,0.74,0.15,0.11,0.67,0.3,0.03
50,0.78,0.14,0.08,0.57,0.41,0.02
60,0.72,0.19,0.09,0.55,0.28,0.17
70,0.82,0.11,0.07,0.64,0.25,0.11
80,0.78,0.13,0.09,0.6,0.28,0.12
90,0.78,0.14,0.08,0.48,0.42,0.1
100,0.8,0.14,0.06,0.44,0.43,0.13
110,0.78,0.14,0.08,0.51,0.46,0.03
120,0.81,0.12,0.07,0.48,0.48,0.04
130,0.72,0.21,0.07,0.47,0.49,0.04
140,0.82,0.09,0.09,0.38,0.54,0.08
150,0.81,0.12,0.07,0.37,0.52,0.11
160,0.84,0.1,0.06,0.51,0.41,0.08
170,0.83,0.08,0.09,0.49,0.44,0.07
180,0.9,0.07,0.03,0.47,0.53,0
190,0.86,0.11,0.03,0.52,0.47,0.01
200,0.86,0.08,0.06,0.53,0.46,0.01
210,0.77,0.13,0.1,0.41,0.55,0.04
220,0.86,0.1,0.04,0.52,0.46,0.02
230,0.86,0.11,0.03,0.51,0.47,0.02
240,0.85,0.1,0.05,0.52,0.47,0.01
250,0.86,0.09,0.05,0.45,0.51,0.04
260,0.87,0.1,0.03,0.46,0.54,0
270,0.92,0.06,0.02,0.53,0.46,0.01
280,0.86,0.09,0.05,0.48,0.52,0
290,0.91,0.07,0.02,0.52,0.48,0
300,0.88,0.1,0.02,0.46,0.5,0.04
310,0.91,0.07,0.02,0.6,0.36,0.04
320,0.79,0.16,0.05,0.51,0.47,0.02
330,0.88,0.09,0.03,0.51,0.48,0.01
340,0.88,0.06,0.06,0.5,0.46,0.04
350,0.84,0.09,0.07,0.55,0.45,0
360,0.83,0.1,0.07,0.44,0.55,0.01
370,0.86,0.07,0.07,0.45,0.51,0.04
380,0.83,0.07,0.1,0.5,0.48,0.02
390,0.83,0.11,0.06,0.52,0.45,0.03
400,0.75,0.14,0.11,0.58,0.4,0.02
410,0.83,0.1,0.07,0.58,0.36,0.06
420,0.78,0.13,0.09,0.57,0.42,0.01
430,0.81,0.12,0.07,0.54,0.4,0.06
440,0.87,0.12,0.01,0.54,0.43,0.03
450,0.77,0.13,0.1,0.65,0.34,0.01
460,0.87,0.08,0.05,0.64,0.35,0.01
470,0.77,0.11,0.12,0.53,0.41,0.06
480,0.87,0.02,0.11,0.58,0.41,0.01
490,0.81,0.11,0.08,0.52,0.46,0.02
500,0.85,0.09,0.06,0.6,0.38,0.02
510,0.79,0.11,0.1,0.51,0.49,0
520,0.88,0.09,0.03,0.57,0.3,0.13
530,0.88,0.06,0.06,0.59,0.41,0
540,0.85,0.12,0.03,0.63,0.35,0.02
550,0.83,0.1,0.07,0.64,0.35,0.01
560,0.88,0.05,0.07,0.65,0.33,0.02
570,0.88,0.08,0.04,0.57,0.41,0.02
580,0.88,0.06,0.06,0.56,0.42,0.02
590,0.85,0.09,0.06,0.66,0.33,0.01
600,0.88,0.09,0.03,0.65,0.34,0.01
610,0.87,0.07,0.06,0.55,0.43,0.02
620,0.87,0.06,0.07,0.51,0.49,0
630,0.83,0.13,0.04,0.46,0.54,0
640,0.83,0.1,0.07,0.57,0.42,0.01
650,0.85,0.11,0.04,0.65,0.35,0
660,0.93,0.03,0.04,0.64,0.36,0
670,0.87,0.11,0.02,0.62,0.34,0.04
680,0.87,0.11,0.02,0.64,0.36,0
690,0.89,0.06,0.05,0.61,0.39,0
700,0.89,0.06,0.05,0.57,0.43,0
710,0.86,0.09,0.05,0.58,0.4,0.02
720,0.78,0.14,0.08,0.62,0.34,0.04
730,0.89,0.06,0.05,0.62,0.36,0.02
740,0.9,0.08,0.02,0.48,0.52,0
750,0.78,0.09,0.13,0.59,0.37,0.04
760,0.82,0.13,0.05,0.64,0.36,0
770,0.86,0.09,0.05,0.61,0.36,0.03
780,0.85,0.1,0.05,0.64,0.32,0.04
790,0.84,0.1,0.06,0.64,0.32,0.04
800,0.89,0.07,0.04,0.56,0.41,0.03
810,0.81,0.07,0.12,0.68,0.3,0.02
820,0.93,0.05,0.02,0.49,0.5,0.01
830,0.89,0.05,0.06,0.59,0.37,0.04
840,0.86,0.07,0.07,0.58,0.38,0.04
850,0.88,0.06,0.06,0.57,0.43,0
860,0.9,0.07,0.03,0.57,0.42,0.01
870,0.92,0.03,0.05,0.68,0.32,0
880,0.85,0.1,0.05,0.66,0.33,0.01
890,0.92,0.06,0.02,0.5,0.48,0.02
900,0.82,0.1,0.08,0.65,0.34,0.01
910,0.78,0.13,0.09,0.63,0.35,0.02
920,0.87,0.02,0.11,0.56,0.44,0
930,0.91,0.07,0.02,0.56,0.44,0
940,0.86,0.09,0.05,0.45,0.5,0.05
950,0.87,0.07,0.06,0.65,0.32,0.03
960,0.93,0.04,0.03,0.61,0.37,0.02
970,0.95,0.04,0.01,0.59,0.33,0.08
980,0.89,0.1,0.01,0.68,0.3,0.02
990,0.9,0.06,0.04,0.57,0.36,0.07
1000,0.87,0.09,0.04,0.63,0.32,0.05
