Episodes,P1-Win,P1-Lose,P1-Draw,P2-Win,P2-Lose,P2-Draw
0,0.75,0.19,0.06,0.46,0.53,0.01
10,0.87,0.12,0.01,0.34,0.48,0.18
20,0.8,0.09,0.11,0.45,0.43,0.12
30,0.83,0.11,0.06,0.48,0.33,0.19
40,0.83,0.1,0.07,0.49,0.4,0.11
50,0.87,0.06,0.07,0.57,0.37,0.06
60,0.81,0.06,0.13,0.28,0.63,0.09
70,0.82,0.12,0.06,0.45,0.5,0.05
80,0.81,0.12,0.07,0.47,0.47,0.06
90,0.77,0.13,0.1,0.49,0.48,0.03
100,0.8,0.14,0.06,0.32,0.5,0.18
110,0.8,0.15,0.05,0.35,0.52,0.13
120,0.85,0.08,0.07,0.4,0.49,0.11
130,0.83,0.11,0.06,0.64,0.33,0.03
140,0.79,0.13,0.08,0.5,0.47,0.03
150,0.82,0.1,0.08,0.59,0.32,0.09
160,0.87,0.09,0.04,0.5,0.42,0.08
170,0.84,0.08,0.08,0.62,0.34,0.04
180,0.8,0.11,0.09,0.61,0.34,0.05
190,0.84,0.08,0.08,0.6,0.32,0.08
200,0.69,0.15,0.16,0.51,0.43,0.06
210,0.85,0.05,0.1,0.4,0.47,0.13
220,0.8,0.12,0.08,0.37,0.47,0.16
230,0.77,0.08,0.15,0.61,0.38,0.01
240,0.84,0.08,0.08,0.34,0.6,0.06
250,0.82,0.12,0.06,0.56,0.4,0.04
260,0.84,0.07,0.09,0.38,0.48,0.14
270,0.86,0.06,0.08,0.46,0.47,0.07
280,0.9,0.07,0.03,0.44,0.49,0.07
290,0.78,0.06,0.16,0.39,0.54,0.07
300,0.82,0.08,0.1,0.43,0.47,0.1
310,0.88,0.06,0.06,0.41,0.51,0.08
320,0.78,0.12,0.1,0.56,0.38,0.06
330,0.81,0.07,0.12,0.41,0.54,0.05
340,0.85,0.06,0.09,0.36,0.54,0.1
350,0.89,0.05,0.06,0.39,0.48,0.13
360,0.81,0.06,0.13,0.34,0.53,0.13
370,0.84,0.06,0.1,0.29,0.61,0.1
380,0.78,0.11,0.11,0.37,0.55,0.08
390,0.86,0.08,0.06,0.38,0.47,0.15
400,0.85,0.11,0.04,0.5,0.37,0.13
410,0.74,0.09,0.17,0.3,0.62,0.08
420,0.76,0.14,0.1,0.37,0.52,0.11
430,0.78,0.1,0.12,0.4,0.46,0.14
440,0.83,0.09,0.08,0.39,0.5,0.11
450,0.68,0.18,0.14,0.25,0.63,0.12
460,0.83,0.14,0.03,0.31,0.49,0.2
470,0.82,0.13,0.05,0.5,0.41,0.09
480,0.83,0.12,0.05,0.38,0.49,0.13
490,0.8,0.07,0.13,0.38,0.53,0.09
500,0.8,0.14,0.06,0.48,0.49,0.03
510,0.81,0.1,0.09,0.41,0.49,0.1
520,0.78,0.1,0.12,0.37,0.48,0.15
530,0.83,0.16,0.01,0.5,0.4,0.1
540,0.73,0.19,0.08,0.42,0.47,0.11
550,0.78,0.15,0.07,0.42,0.45,0.13
560,0.81,0.11,0.08,0.47,0.47,0.06
570,0.83,0.11,0.06,0.41,0.49,0.1
580,0.82,0.1,0.08,0.59,0.33,0.08
590,0.84,0.13,0.03,0.63,0.28,0.09
600,0.77,0.19,0.04,0.58,0.4,0.02
610,0.82,0.12,0.06,0.57,0.42,0.01
620,0.81,0.11,0.08,0.53,0.38,0.09
630,0.88,0.08,0.04,0.57,0.38,0.05
640,0.78,0.14,0.08,0.51,0.44,0.05
650,0.73,0.17,0.1,0.49,0.4,0.11
660,0.81,0.1,0.09,0.54,0.41,0.05
670,0.84,0.08,0.08,0.66,0.28,0.06
680,0.87,0.1,0.03,0.55,0.4,0.05
690,0.87,0.1,0.03,0.63,0.34,0.03
700,0.82,0.14,0.04,0.6,0.34,0.06
710,0.85,0.1,0.05,0.53,0.41,0.06
720,0.91,0.05,0.04,0.56,0.37,0.07
730,0.87,0.09,0.04,0.62,0.35,0.03
740,0.78,0.14,0.08,0.6,0.34,0.06
750,0.81,0.12,0.07,0.54,0.39,0.07
760,0.84,0.1,0.06,0.41,0.45,0.14
770,0.86,0.06,0.08,0.36,0.49,0.15
780,0.68,0.25,0.07,0.5,0.4,0.1
790,0.82,0.07,0.11,0.57,0.41,0.02
800,0.81,0.09,0.1,0.58,0.35,0.07
810,0.74,0.15,0.11,0.57,0.32,0.11
820,0.8,0.12,0.08,0.57,0.36,0.07
830,0.8,0.14,0.06,0.53,0.37,0.1
840,0.51,0.25,0.24,0.61,0.35,0.04
850,0.51,0.33,0.16,0.44,0.53,0.03
860,0.77,0.18,0.05,0.57,0.39,0.04
870,0.75,0.12,0.13,0.48,0.41,0.11
880,0.73,0.12,0.15,0.54,0.42,0.04
890,0.78,0.12,0.1,0.6,0.35,0.05
900,0.83,0.1,0.07,0.55,0.4,0.05
910,0.7,0.14,0.16,0.57,0.38,0.05
920,0.75,0.16,0.09,0.65,0.29,0.06
930,0.77,0.16,0.07,0.5,0.44,0.06
940,0.81,0.1,0.09,0.64,0.31,0.05
950,0.81,0.09,0.1,0.58,0.35,0.07
960,0.81,0.06,0.13,0.63,0.32,0.05
970,0.8,0.11,0.09,0.55,0.4,0.05
980,0.82,0.1,0.08,0.58,0.36,0.06
990,0.78,0.13,0.09,0.51,0.4,0.09
1000,0.78,0.11,0.11,0.52,0.38,0.1
