Episodes,P1-Win,P1-Lose,P1-Draw,P2-Win,P2-Lose,P2-Draw
0,0.82,0.16,0.02,0.38,0.58,0.04
10,0.83,0.08,0.09,0.26,0.51,0.23
20,0.86,0.06,0.08,0.23,0.66,0.11
30,0.85,0.06,0.09,0.35,0.62,0.03
40,0.81,0.05,0.14,0.38,0.56,0.06
50,0.75,0.06,0.19,0.3,0.62,0.08
60,0.81,0.05,0.14,0.24,0.63,0.13
70,0.88,0.02,0.1,0.32,0.59,0.09
80,0.83,0.06,0.11,0.27,0.63,0.1
90,0.83,0.06,0.11,0.16,0.49,0.35
100,0.9,0.04,0.06,0.22,0.41,0.37
110,0.77,0.06,0.17,0.16,0.52,0.32
120,0.81,0.14,0.05,0.2,0.5,0.3
130,0.78,0.18,0.04,0.22,0.49,0.29
140,0.76,0.19,0.05,0.14,0.54,0.32
150,0.75,0.21,0.04,0.17,0.48,0.35
160,0.73,0.2,0.07,0.14,0.47,0.39
170,0.83,0.09,0.08,0.19,0.51,0.3
180,0.82,0.09,0.09,0.18,0.44,0.38
190,0.76,0.1,0.14,0.21,0.51,0.28
200,0.79,0.1,0.11,0.17,0.55,0.28
210,0.91,0.02,0.07,0.17,0.56,0.27
220,0.84,0.09,0.07,0.2,0.51,0.29
230,0.87,0.07,0.06,0.15,0.6,0.25
240,0.82,0.07,0.11,0.08,0.61,0.31
250,0.82,0.05,0.13,0.16,0.57,0.27
260,0.84,0.07,0.09,0.1,0.62,0.28
270,0.53,0.41,0.06,0.1,0.54,0.36
280,0.64,0.26,0.1,0.26,0.46,0.28
290,0.84,0.08,0.08,0.21,0.56,0.23
300,0.85,0.11,0.04,0.15,0.57,0.28
310,0.77,0.13,0.1,0.21,0.57,0.22
320,0.86,0.09,0.05,0.24,0.52,0.24
330,0.89,0.05,0.06,0.2,0.62,0.18
340,0.83,0.12,0.05,0.3,0.6,0.1
350,0.89,0.06,0.05,0.29,0.55,0.16
360,0.83,0.11,0.06,0.43,0.5,0.07
370,0.9,0.05,0.05,0.25,0.67,0.08
380,0.86,0.04,0.1,0.37,0.59,0.04
390,0.92,0.02,0.06,0.36,0.51,0.13
400,0.88,0.04,0.08,0.38,0.56,0.06
410,0.88,0.07,0.05,0.37,0.51,0.12
420,0.89,0.07,0.04,0.33,0.57,0.1
430,0.88,0.05,0.07,0.4,0.56,0.04
440,0.95,0.04,0.01,0.33,0.57,0.1
450,0.88,0.1,0.02,0.29,0.63,0.08
460,0.87,0.06,0.07,0.44,0.53,0.03
470,0.9,0.06,0.04,0.32,0.61,0.07
480,0.91,0.05,0.04,0.4,0.49,0.11
490,0.86,0.08,0.06,0.35,0.55,0.1
500,0.89,0.06,0.05,0.35,0.58,0.07
510,0.9,0.05,0.05,0.43,0.46,0.11
520,0.85,0.08,0.07,0.27,0.55,0.18
530,0.88,0.07,0.05,0.4,0.52,0.08
540,0.82,0.04,0.14,0.3,0.64,0.06
550,0.91,0.04,0.05,0.19,0.7,0.11
560,0.9,0.06,0.04,0.39,0.48,0.13
570,0.92,0.04,0.04,0.39,0.49,0.12
580,0.87,0.06,0.07,0.43,0.48,0.09
590,0.75,0.17,0.08,0.29,0.58,0.13
600,0.91,0.05,0.04,0.43,0.49,0.08
610,0.9,0.08,0.02,0.41,0.48,0.11
620,0.89,0.07,0.04,0.41,0.49,0.1
630,0.95,0.03,0.02,0.36,0.51,0.13
640,0.85,0.06,0.09,0.3,0.64,0.06
650,0.85,0.08,0.07,0.3,0.64,0.06
660,0.89,0.07,0.04,0.42,0.55,0.03
670,0.85,0.08,0.07,0.37,0.61,0.02
680,0.85,0.04,0.11,0.36,0.61,0.03
690,0.86,0.08,0.06,0.34,0.63,0.03
700,0.76,0.15,0.09,0.46,0.47,0.07
710,0.76,0.12,0.12,0.42,0.5,0.08
720,0.89,0.08,0.03,0.41,0.52,0.07
730,0.82,0.14,0.04,0.38,0.55,0.07
740,0.88,0.06,0.06,0.39,0.56,0.05
750,0.86,0.07,0.07,0.52,0.44,0.04
760,0.83,0.16,0.01,0.26,0.63,0.11
770,0.83,0.11,0.06,0.37,0.58,0.05
780,0.84,0.09,0.07,0.37,0.57,0.06
790,0.82,0.12,0.06,0.31,0.65,0.04
800,0.9,0.06,0.04,0.36,0.63,0.01
810,0.77,0.09,0.14,0.32,0.62,0.06
820,0.89,0.02,0.09,0.29,0.69,0.02
830,0.93,0.03,0.04,0.38,0.6,0.02
840,0.84,0.03,0.13,0.37,0.61,0.02
850,0.81,0.11,0.08,0.42,0.53,0.05
860,0.8,0.12,0.08,0.36,0.62,0.02
870,0.92,0.05,0.03,0.25,0.65,0.1
880,0.92,0.06,0.02,0.27,0.63,0.1
890,0.89,0.07,0.04,0.35,0.59,0.06
900,0.9,0.07,0.03,0.52,0.46,0.02
910,0.86,0.09,0.05,0.3,0.66,0.04
920,0.83,0.11,0.06,0.25,0.73,0.02
930,0.83,0.06,0.11,0.3,0.65,0.05
940,0.88,0.09,0.03,0.24,0.7,0.06
950,0.86,0.03,0.11,0.33,0.62,0.05
960,0.88,0.05,0.07,0.41,0.56,0.03
970,0.81,0.14,0.05,0.34,0.63,0.03
980,0.89,0.07,0.04,0.25,0.69,0.06
990,0.4,0.47,0.13,0.3,0.62,0.08
1000,0.43,0.45,0.12,0.16,0.77,0.07
