Episodes,P1-Win,P1-Lose,P1-Draw,P2-Win,P2-Lose,P2-Draw
0,0.76,0.19,0.05,0.46,0.52,0.02
10,0.86,0.08,0.06,0.51,0.37,0.12
20,0.83,0.11,0.06,0.39,0.45,0.16
30,0.82,0.13,0.05,0.34,0.63,0.03
40,0.85,0.12,0.03,0.41,0.48,0.11
50,0.72,0.22,0.06,0.59,0.37,0.04
60,0.84,0.13,0.03,0.63,0.31,0.06
70,0.81,0.14,0.05,0.56,0.32,0.12
80,0.79,0.13,0.08,0.58,0.33,0.09
90,0.84,0.12,0.04,0.64,0.31,0.05
100,0.78,0.1,0.12,0.65,0.31,0.04
110,0.88,0.12,0,0.51,0.35,0.14
120,0.74,0.18,0.08,0.44,0.41,0.15
130,0.89,0.07,0.04,0.49,0.42,0.09
140,0.73,0.14,0.13,0.42,0.44,0.14
150,0.8,0.12,0.08,0.46,0.45,0.09
160,0.81,0.05,0.14,0.56,0.31,0.13
170,0.91,0.05,0.04,0.46,0.47,0.07
180,0.85,0.08,0.07,0.49,0.42,0.09
190,0.86,0.07,0.07,0.44,0.43,0.13
200,0.81,0.14,0.05,0.47,0.45,0.08
210,0.81,0.11,0.08,0.43,0.46,0.11
220,0.93,0.03,0.04,0.5,0.38,0.12
230,0.87,0.05,0.08,0.39,0.46,0.15
240,0.77,0.13,0.1,0.56,0.4,0.04
250,0.89,0.06,0.05,0.5,0.41,0.09
260,0.81,0.1,0.09,0.44,0.41,0.15
270,0.82,0.1,0.08,0.59,0.35,0.06
280,0.82,0.08,0.1,0.56,0.38,0.06
290,0.89,0.06,0.05,0.58,0.34,0.08
300,0.8,0.11,0.09,0.62,0.33,0.05
310,0.85,0.05,0.1,0.64,0.25,0.11
320,0.82,0.08,0.1,0.43,0.46,0.11
330,0.78,0.12,0.1,0.41,0.52,0.07
340,0.75,0.18,0.07,0.59,0.37,0.04
350,0.9,0.08,0.02,0.55,0.36,0.09
360,0.81,0.15,0.04,0.57,0.34,0.09
370,0.78,0.14,0.08,0.53,0.4,0.07
380,0.84,0.16,0,0.68,0.28,0.04
390,0.84,0.14,0.02,0.68,0.27,0.05
400,0.82,0.14,0.04,0.63,0.28,0.09
410,0.89,0.07,0.04,0.51,0.42,0.07
420,0.86,0.07,0.07,0.45,0.42,0.13
430,0.83,0.13,0.04,0.53,0.39,0.08
440,0.88,0.09,0.03,0.56,0.36,0.08
450,0.85,0.09,0.06,0.6,0.34,0.06
460,0.83,0.13,0.04,0.63,0.28,0.09
470,0.83,0.12,0.05,0.57,0.3,0.13
480,0.78,0.17,0.05,0.56,0.34,0.1
490,0.85,0.08,0.07,0.58,0.32,0.1
500,0.81,0.15,0.04,0.63,0.25,0.12
510,0.83,0.14,0.03,0.59,0.32,0.09
520,0.86,0.08,0.06,0.5,0.37,0.13
530,0.93,0.04,0.03,0.58,0.33,0.09
540,0.81,0.1,0.09,0.56,0.3,0.14
550,0.87,0.1,0.03,0.55,0.36,0.09
560,0.91,0.04,0.05,0.61,0.26,0.13
570,0.85,0.11,0.04,0.58,0.34,0.08
580,0.92,0.06,0.02,0.62,0.31,0.07
590,0.86,0.1,0.04,0.56,0.34,0.1
600,0.91,0.05,0.04,0.6,0.32,0.08
610,0.83,0.07,0.1,0.63,0.29,0.08
620,0.88,0.05,0.07,0.59,0.29,0.12
630,0.9,0.07,0.03,0.64,0.26,0.1
640,0.82,0.12,0.06,0.63,0.29,0.08
650,0.9,0.08,0.02,0.62,0.29,0.09
660,0.92,0.05,0.03,0.67,0.29,0.04
670,0.82,0.13,0.05,0.59,0.34,0.07
680,0.84,0.11,0.05,0.65,0.3,0.05
690,0.88,0.07,0.05,0.55,0.35,0.1
700,0.88,0.08,0.04,0.57,0.38,0.05
710,0.85,0.15,0,0.55,0.32,0.13
720,0.87,0.08,0.05,0.58,0.31,0.11
730,0.87,0.04,0.09,0.69,0.25,0.06
740,0.81,0.15,0.04,0.66,0.27,0.07
750,0.92,0.05,0.03,0.62,0.33,0.05
760,0.9,0.03,0.07,0.66,0.3,0.04
770,0.82,0.1,0.08,0.56,0.39,0.05
780,0.92,0.06,0.02,0.56,0.39,0.05
790,0.94,0.06,0,0.67,0.28,0.05
800,0.89,0.06,0.05,0.59,0.32,0.09
810,0.89,0.04,0.07,0.61,0.37,0.02
820,0.84,0.1,0.06,0.57,0.36,0.07
830,0.88,0.07,0.05,0.5,0.44,0.06
840,0.8,0.11,0.09,0.45,0.44,0.11
850,0.92,0.05,0.03,0.64,0.33,0.03
860,0.86,0.08,0.06,0.56,0.36,0.08
870,0.89,0.05,0.06,0.54,0.38,0.08
880,0.89,0.07,0.04,0.58,0.39,0.03
890,0.89,0.08,0.03,0.57,0.38,0.05
900,0.87,0.1,0.03,0.58,0.34,0.08
910,0.83,0.14,0.03,0.56,0.37,0.07
920,0.8,0.14,0.06,0.64,0.31,0.05
930,0.87,0.08,0.05,0.49,0.41,0.1
940,0.86,0.08,0.06,0.59,0.33,0.08
950,0.87,0.06,0.07,0.54,0.29,0.17
960,0.91,0.07,0.02,0.49,0.36,0.15
970,0.87,0.07,0.06,0.5,0.34,0.16
980,0.88,0.03,0.09,0.59,0.3,0.11
990,0.85,0.11,0.04,0.55,0.26,0.19
1000,0.91,0.05,0.04,0.59,0.3,0.11
