Episodes,P1-Win,P1-Lose,P1-Draw,P2-Win,P2-Lose,P2-Draw
0,0.75,0.19,0.06,0.44,0.54,0.02
10,0.92,0.06,0.02,0.39,0.41,0.2
20,0.5,0.41,0.09,0.31,0.6,0.09
30,0.76,0.16,0.08,0.2,0.69,0.11
40,0.85,0.07,0.08,0.47,0.43,0.1
50,0.87,0.1,0.03,0.52,0.35,0.13
60,0.78,0.13,0.09,0.48,0.4,0.12
70,0.75,0.16,0.09,0.41,0.39,0.2
80,0.85,0.09,0.06,0.43,0.47,0.1
90,0.79,0.1,0.11,0.51,0.45,0.04
100,0.75,0.12,0.13,0.55,0.37,0.08
110,0.8,0.13,0.07,0.56,0.4,0.04
120,0.86,0.1,0.04,0.55,0.38,0.07
130,0.75,0.17,0.08,0.58,0.31,0.11
140,0.67,0.22,0.11,0.5,0.46,0.04
150,0.75,0.18,0.07,0.48,0.49,0.03
160,0.82,0.11,0.07,0.52,0.47,0.01
170,0.82,0.11,0.07,0.5,0.35,0.15
180,0.72,0.23,0.05,0.42,0.49,0.09
190,0.81,0.14,0.05,0.52,0.47,0.01
200,0.82,0.14,0.04,0.56,0.38,0.06
210,0.82,0.1,0.08,0.44,0.54,0.02
220,0.92,0.06,0.02,0.45,0.53,0.02
230,0.84,0.11,0.05,0.45,0.51,0.04
240,0.8,0.14,0.06,0.52,0.48,0
250,0.86,0.1,0.04,0.55,0.43,0.02
260,0.78,0.16,0.06,0.42,0.54,0.04
270,0.73,0.23,0.04,0.57,0.41,0.02
280,0.81,0.13,0.06,0.52,0.47,0.01
290,0.78,0.18,0.04,0.5,0.43,0.07
300,0.74,0.2,0.06,0.39,0.54,0.07
310,0.81,0.12,0.07,0.62,0.34,0.04
320,0.73,0.2,0.07,0.55,0.39,0.06
330,0.81,0.14,0.05,0.43,0.49,0.08
340,0.74,0.2,0.06,0.58,0.37,0.05
350,0.9,0.07,0.03,0.56,0.38,0.06
360,0.77,0.18,0.05,0.55,0.28,0.17
370,0.77,0.11,0.12,0.6,0.33,0.07
380,0.81,0.13,0.06,0.64,0.25,0.11
390,0.79,0.16,0.05,0.43,0.47,0.1
400,0.75,0.19,0.06,0.58,0.28,0.14
410,0.72,0.18,0.1,0.57,0.35,0.08
420,0.82,0.14,0.04,0.48,0.43,0.09
430,0.81,0.1,0.09,0.55,0.39,0.06
440,0.86,0.09,0.05,0.51,0.45,0.04
450,0.78,0.17,0.05,0.49,0.45,0.06
460,0.77,0.13,0.1,0.57,0.36,0.07
470,0.76,0.12,0.12,0.43,0.53,0.04
480,0.83,0.12,0.05,0.54,0.39,0.07
490,0.86,0.05,0.09,0.51,0.43,0.06
500,0.81,0.15,0.04,0.56,0.38,0.06
510,0.89,0.09,0.02,0.49,0.43,0.08
520,0.8,0.13,0.07,0.59,0.33,0.08
530,0.8,0.09,0.11,0.6,0.33,0.07
540,0.81,0.11,0.08,0.56,0.37,0.07
550,0.81,0.12,0.07,0.67,0.32,0.01
560,0.75,0.2,0.05,0.62,0.31,0.07
570,0.73,0.16,0.11,0.55,0.39,0.06
580,0.9,0.05,0.05,0.67,0.3,0.03
590,0.89,0.09,0.02,0.49,0.39,0.12
600,0.89,0.08,0.03,0.47,0.42,0.11
610,0.91,0.06,0.03,0.45,0.47,0.08
620,0.87,0.08,0.05,0.62,0.31,0.07
630,0.76,0.19,0.05,0.61,0.37,0.02
640,0.84,0.08,0.08,0.58,0.34,0.08
650,0.83,0.08,0.09,0.63,0.33,0.04
660,0.87,0.09,0.04,0.63,0.32,0.05
670,0.89,0.1,0.01,0.64,0.3,0.06
680,0.97,0.01,0.02,0.55,0.38,0.07
690,0.85,0.07,0.08,0.66,0.25,0.09
700,0.81,0.07,0.12,0.55,0.42,0.03
710,0.85,0.11,0.04,0.58,0.35,0.07
720,0.79,0.12,0.09,0.58,0.37,0.05
730,0.84,0.1,0.06,0.52,0.46,0.02
740,0.91,0.08,0.01,0.39,0.56,0.05
750,0.9,0.05,0.05,0.64,0.33,0.03
760,0.9,0.06,0.04,0.65,0.3,0.05
770,0.91,0.03,0.06,0.7,0.27,0.03
780,0.85,0.11,0.04,0.68,0.26,0.06
790,0.92,0.07,0.01,0.54,0.44,0.02
800,0.85,0.1,0.05,0.56,0.41,0.03
810,0.95,0.02,0.03,0.52,0.43,0.05
820,0.74,0.18,0.08,0.47,0.44,0.09
830,0.88,0.1,0.02,0.54,0.33,0.13
840,0.86,0.11,0.03,0.48,0.48,0.04
850,0.79,0.13,0.08,0.52,0.39,0.09
860,0.9,0.08,0.02,0.52,0.42,0.06
870,0.88,0.09,0.03,0.56,0.38,0.06
880,0.89,0.07,0.04,0.51,0.4,0.09
890,0.88,0.09,0.03,0.44,0.48,0.08
900,0.83,0.11,0.06,0.48,0.48,0.04
910,0.79,0.15,0.06,0.43,0.46,0.11
920,0.88,0.07,0.05,0.39,0.45,0.16
930,0.79,0.19,0.02,0.48,0.4,0.12
940,0.94,0.02,0.04,0.53,0.4,0.07
950,0.91,0.04,0.05,0.56,0.38,0.06
960,0.85,0.1,0.05,0.55,0.35,0.1
970,0.76,0.15,0.09,0.53,0.4,0.07
980,0.77,0.14,0.09,0.51,0.33,0.16
990,0.81,0.12,0.07,0.52,0.39,0.09
1000,0.85,0.13,0.02,0.48,0.47,0.05
