Episodes,P1-Win,P1-Lose,P1-Draw,P2-Win,P2-Lose,P2-Draw
0,0.82,0.13,0.05,0.43,0.5,0.07
10,0.9,0.04,0.06,0.31,0.58,0.11
20,0.8,0.12,0.08,0.5,0.4,0.1
30,0.8,0.07,0.13,0.43,0.42,0.15
40,0.86,0.08,0.06,0.37,0.6,0.03
50,0.84,0.11,0.05,0.32,0.67,0.01
60,0.89,0.07,0.04,0.28,0.71,0.01
70,0.84,0.11,0.05,0.34,0.61,0.05
80,0.78,0.15,0.07,0.25,0.72,0.03
90,0.76,0.16,0.08,0.38,0.5,0.12
100,0.64,0.22,0.14,0.3,0.56,0.14
110,0.76,0.15,0.09,0.27,0.59,0.14
120,0.6,0.25,0.15,0.38,0.58,0.04
130,0.44,0.37,0.19,0.42,0.53,0.05
140,0.68,0.14,0.18,0.25,0.65,0.1
150,0.83,0.07,0.1,0.46,0.5,0.04
160,0.83,0.09,0.08,0.3,0.55,0.15
170,0.81,0.09,0.1,0.33,0.51,0.16
180,0.83,0.07,0.1,0.41,0.49,0.1
190,0.7,0.17,0.13,0.37,0.53,0.1
200,0.78,0.11,0.11,0.37,0.51,0.12
210,0.81,0.15,0.04,0.36,0.52,0.12
220,0.75,0.16,0.09,0.26,0.62,0.12
230,0.76,0.15,0.09,0.42,0.55,0.03
240,0.8,0.1,0.1,0.32,0.63,0.05
250,0.78,0.11,0.11,0.32,0.54,0.14
260,0.78,0.11,0.11,0.29,0.58,0.13
270,0.77,0.11,0.12,0.32,0.61,0.07
280,0.79,0.08,0.13,0.38,0.48,0.14
290,0.82,0.14,0.04,0.38,0.48,0.14
300,0.76,0.15,0.09,0.33,0.59,0.08
310,0.78,0.11,0.11,0.43,0.49,0.08
320,0.82,0.08,0.1,0.38,0.51,0.11
330,0.83,0.11,0.06,0.31,0.56,0.13
340,0.78,0.16,0.06,0.41,0.51,0.08
350,0.78,0.14,0.08,0.35,0.47,0.18
360,0.76,0.13,0.11,0.28,0.58,0.14
370,0.77,0.11,0.12,0.41,0.51,0.08
380,0.79,0.1,0.11,0.38,0.48,0.14
390,0.88,0.07,0.05,0.27,0.63,0.1
400,0.81,0.12,0.07,0.36,0.52,0.12
410,0.79,0.12,0.09,0.33,0.5,0.17
420,0.57,0.24,0.19,0.38,0.5,0.12
430,0.8,0.09,0.11,0.31,0.67,0.02
440,0.77,0.1,0.13,0.28,0.69,0.03
450,0.82,0.13,0.05,0.35,0.48,0.17
460,0.81,0.12,0.07,0.35,0.53,0.12
470,0.8,0.13,0.07,0.39,0.48,0.13
480,0.73,0.1,0.17,0.42,0.48,0.1
490,0.82,0.07,0.11,0.47,0.43,0.1
500,0.87,0.1,0.03,0.41,0.49,0.1
510,0.72,0.19,0.09,0.32,0.5,0.18
520,0.79,0.16,0.05,0.39,0.56,0.05
530,0.58,0.3,0.12,0.36,0.49,0.15
540,0.39,0.5,0.11,0.37,0.56,0.07
550,0.56,0.3,0.14,0.37,0.57,0.06
560,0.72,0.24,0.04,0.33,0.54,0.13
570,0.87,0.08,0.05,0.42,0.5,0.08
580,0.78,0.11,0.11,0.37,0.52,0.11
590,0.76,0.14,0.1,0.34,0.56,0.1
600,0.85,0.1,0.05,0.17,0.82,0.01
610,0.81,0.1,0.09,0.24,0.71,0.05
620,0.79,0.12,0.09,0.23,0.71,0.06
630,0.83,0.07,0.1,0.4,0.59,0.01
640,0.78,0.09,0.13,0.5,0.44,0.06
650,0.79,0.09,0.12,0.45,0.5,0.05
660,0.78,0.1,0.12,0.43,0.5,0.07
670,0.79,0.13,0.08,0.39,0.52,0.09
680,0.79,0.13,0.08,0.39,0.43,0.18
690,0.76,0.13,0.11,0.39,0.51,0.1
700,0.85,0.07,0.08,0.31,0.56,0.13
710,0.75,0.09,0.16,0.42,0.5,0.08
720,0.74,0.17,0.09,0.38,0.5,0.12
730,0.82,0.08,0.1,0.31,0.52,0.17
740,0.72,0.16,0.12,0.32,0.52,0.16
750,0.84,0.13,0.03,0.43,0.45,0.12
760,0.88,0.1,0.02,0.37,0.6,0.03
770,0.84,0.1,0.06,0.45,0.44,0.11
780,0.86,0.09,0.05,0.36,0.54,0.1
790,0.78,0.12,0.1,0.34,0.59,0.07
800,0.82,0.11,0.07,0.33,0.52,0.15
810,0.79,0.1,0.11,0.32,0.58,0.1
820,0.83,0.09,0.08,0.35,0.49,0.16
830,0.82,0.07,0.11,0.34,0.54,0.12
840,0.82,0.08,0.1,0.31,0.59,0.1
850,0.82,0.08,0.1,0.3,0.61,0.09
860,0.82,0.1,0.08,0.3,0.59,0.11
870,0.88,0.04,0.08,0.42,0.47,0.11
880,0.8,0.11,0.09,0.35,0.54,0.11
890,0.8,0.1,0.1,0.39,0.46,0.15
900,0.74,0.16,0.1,0.47,0.39,0.14
910,0.76,0.11,0.13,0.5,0.35,0.15
920,0.85,0.03,0.12,0.34,0.62,0.04
930,0.75,0.15,0.1,0.4,0.55,0.05
940,0.81,0.15,0.04,0.38,0.54,0.08
950,0.84,0.12,0.04,0.36,0.53,0.11
960,0.8,0.08,0.12,0.47,0.47,0.06
970,0.87,0.05,0.08,0.35,0.56,0.09
980,0.76,0.11,0.13,0.45,0.51,0.04
990,0.72,0.19,0.09,0.43,0.47,0.1
1000,0.88,0.08,0.04,0.39,0.57,0.04
